1|20201212|Coca-cola|3.0|1
2|20201111|Pepsi|3.0|2
3|20200909|Staropramen|4.0|2
4|20200808|Argo|2.0|3
5|20200303|Staropramen|4.0|5
6|20201010|Coca-cola|3.0|1
7|20200101|Argo|2.0|2
8|20200202|Sandora|6.0|4
9|20200404|Coca-cola|3.0|3
10|20200606|Coca-cola|3.0|2 
11|20200505|Pepsi|3.0|1
12|20200707|Argo|2.0|5
13|20200309|Staropramen|4.0|5
14|20200702|Argo|2.0|2
15|20200912|Coca-cola|3.0|4 
16|20201012|Staropramen|4.0|1 
17|20201107|Argo|2.0|1
18|20200904|Coca-cola|3.0|2 
19|20200506|Pepsi|3.0|3
20|20200809|Staropramen|4.0|4
